window,total_trades,winning_trades,losing_trades,win_rate,total_return_equity,avg_return_per_trade,profit_factor,max_drawdown,sharpe_ratio,gross_profit,gross_loss,avg_win,avg_loss,best_trade,worst_trade
0,459,184,275,0.4008714596949891,-0.6862273465209034,-0.0014950486852307265,0.5049831845318274,-0.5037351957795627,-0.2596071832181327,0.7000434327290692,1.3862707792499727,0.00380458387352755,-0.005040984651818082,0.03247570808146294,-0.04297732973296842
1,430,177,253,0.4116279069767442,-0.6331950477802224,-0.0014725466227447032,0.46136563514449386,-0.4704773426247868,-0.29565317833927496,0.5423613019340836,1.1755563497143062,0.0030641881465202463,-0.00464646778543204,0.026784741349514696,-0.028508630881601937
2,424,176,248,0.41509433962264153,-0.7423342029018216,-0.0017507882143910887,0.6068435034789423,-0.5511873118035455,-0.19847695060732,1.1458050227514465,1.888139225653268,0.006510255811087764,-0.0076134646195696295,0.020719344057683164,-0.04335276429433199
3,390,164,226,0.4205128205128205,-0.4042123584355078,-0.0010364419447064302,0.6601523901394208,-0.3420887961784829,-0.14470519242820348,0.7851806127298154,1.1893929711653233,0.00478768666298668,-0.005262800757368687,0.03693963407964207,-0.039767649066216326
4,476,187,289,0.39285714285714285,-1.056594042867818,-0.002219735384176088,0.6896713232769104,-0.6798908012426538,-0.14880914388873687,2.3481639512205934,3.4047579940884107,0.012557026477115473,-0.011781169529717684,0.07866657132658184,-0.08068516106642654
5,462,203,259,0.4393939393939394,-0.5083562798083164,-0.001100338267983369,0.6643589697132093,-0.4082250080627192,-0.15292696532521624,1.0062269622164985,1.5145832420248153,0.004956783065105904,-0.0058478117452695575,0.048944527860676046,-0.039038608419123655
6,393,168,225,0.42748091603053434,-0.549031577229152,-0.001397026914069089,0.589231616877925,-0.43891545867600185,-0.21746235132919997,0.7875649082554357,1.3365964854845878,0.004687886358663308,-0.005940428824375945,0.019773178309383077,-0.031373443483721286
7,378,152,226,0.4021164021164021,-0.7144547130503343,-0.0018900918334664926,0.624337751940191,-0.5255622844589283,-0.20368922453888647,1.1873991909293555,1.9018539039796898,0.007811836782429971,-0.008415282760972078,0.04275577837360234,-0.03387419270645309
8,250,95,155,0.38,-0.31541168158801164,-0.0012616467263520466,0.47357546991258576,-0.2692500472263734,-0.3169344831052379,0.28374672300919956,0.5991584045972114,0.0029868076106231533,-0.003865538094175557,0.008664980546648215,-0.015367219964758094
9,406,164,242,0.4039408866995074,-0.5262963386843075,-0.0012962964007002648,0.474092546978227,-0.4106837284785491,-0.3136593003579847,0.4744431177738584,1.000739456458166,0.0028929458400845025,-0.00413528701015771,0.012540752198144212,-0.02515864140754498
10,526,232,294,0.44106463878326996,-0.5498036162452635,-0.0010452540232799687,0.857723727752152,-0.5034705336287846,-0.06568287931922233,3.314534460363144,3.8643380766084072,0.014286786467082518,-0.013144007063293902,0.05830077891719043,-0.04676436643493209
11,386,153,233,0.3963730569948187,-0.5164203832886944,-0.001337876640644286,0.6851301613519227,-0.40820168344939195,-0.17063179678683896,1.1236871148000178,1.6401074980887125,0.0073443602274510964,-0.007039087974629667,0.019904762385207886,-0.021066295491490306
